epochs, EmbeddingSimilarity,nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,-0.005714409938807779,1.6743575,0.39869834719759956,0.5731885990074818,0.1638713868230654,0.2700454422780821,0.10724543154261712,0.15350507044413145,
6,-0.00700052389386556,1.1148595,0.330472576979336,0.5731885990074818,0.1391837704888035,0.2700454422780821,0.09480563197087578,0.15350507044413145,
11,-0.00736751929811775,1.0285349,0.3774250144825467,0.5731885990074818,0.16476570801771104,0.2700454422780821,0.10494288213159803,0.15350507044413145,
16,-0.00880079954367669,0.9422271,0.4653568430536469,0.5731885990074818,0.2178166544043661,0.2700454422780821,0.12524366979402204,0.15350507044413145,
21,-0.008235065358505883,0.8750542,0.5026066922106055,0.5731885990074818,0.2520853783149881,0.2700454422780821,0.14542901996354066,0.15350507044413145,
26,-0.010223693653683134,0.8210391,0.5457050281941829,0.5731885990074818,0.27931365942223935,0.2700454422780821,0.1563772585575761,0.15350507044413145,
31,-0.005678085031089403,0.77672803,0.5430576649025435,0.5731885990074818,0.2941599738674066,0.2700454422780821,0.17743474368517984,0.15350507044413145,
36,-0.009007949251814463,0.72204673,0.5509359748148094,0.5731885990074818,0.29096253747809725,0.2700454422780821,0.16392846663880317,0.15350507044413145,
41,-0.008879115133912768,0.68167037,0.5732662135406622,0.5731885990074818,0.31243038118682964,0.2700454422780821,0.17971719384124535,0.15350507044413145,
46,-0.006408188529504993,0.6536152,0.576214922406026,0.5731885990074818,0.31927426070630754,0.2700454422780821,0.19097805289995143,0.15350507044413145,
51,-0.007071825507833188,0.6350971,0.6078894209093788,0.5731885990074818,0.3475209160071676,0.2700454422780821,0.20200367152317703,0.15350507044413145,
56,-0.007684997216089676,0.66112673,0.6446740643949204,0.5731885990074818,0.3641503893640372,0.2700454422780821,0.2051665185047943,0.15350507044413145,
61,-0.007261153203359267,0.68337333,0.636629518297379,0.5731885990074818,0.355356688307919,0.2700454422780821,0.20191627196364928,0.15350507044413145,
66,-0.007498084950083031,0.70574576,0.6155428852595598,0.5731885990074818,0.33238841396812374,0.2700454422780821,0.19014453841534582,0.15350507044413145,
71,-0.007973285611024856,0.72042274,0.6019300070109226,0.5731885990074818,0.3150711961815734,0.2700454422780821,0.1802397644860666,0.15350507044413145,
76,-0.008404015101906808,0.7315178,0.6003383107136884,0.5731885990074818,0.3135572073553544,0.2700454422780821,0.18113905025506272,0.15350507044413145,
81,-0.007885989666932438,0.74166095,0.6118805618497459,0.5731885990074818,0.3310029017616009,0.2700454422780821,0.19348459120131645,0.15350507044413145,
86,-0.008748910126891078,0.7530643,0.6328064254960067,0.5731885990074818,0.3567787477008979,0.2700454422780821,0.20510656025750798,0.15350507044413145,
91,-0.009377724530717559,0.75870156,0.6342474456660552,0.5731885990074818,0.357032192792229,0.2700454422780821,0.20885059551874874,0.15350507044413145,
96,-0.008977632966392297,0.7619081,0.6272060340211063,0.5731885990074818,0.3524176293228753,0.2700454422780821,0.20971836202551775,0.15350507044413145,
100,-0.009079622625884147,0.7620947,0.6210392108538448,0.5731885990074818,0.35231559925694633,0.2700454422780821,0.21224774060345644,0.15350507044413145,
