epochs, EmbeddingSimilarity,nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,-0.0017759644929248464,0.7255345,0.2527964016478869,0.584763371225988,0.09301305065507083,0.21384064496308594,0.05947956942019853,0.10918260883839324,
6,-0.0022043837315653737,0.45816064,0.20669986748942284,0.584763371225988,0.10063000759693567,0.21384064496308594,0.07668324856179483,0.10918260883839324,
11,-0.002208856333104527,0.43076575,0.2173468143016837,0.584763371225988,0.10180346171102231,0.21384064496308594,0.07610265588250605,0.10918260883839324,
16,-0.002273096487565331,0.40021053,0.23101100758231807,0.584763371225988,0.10405362263699484,0.21384064496308594,0.075439647788283,0.10918260883839324,
21,-0.002267615781004099,0.3646661,0.279809364956684,0.584763371225988,0.12023014745352431,0.21384064496308594,0.08148340310706462,0.10918260883839324,
26,-0.001536349722297933,0.3337507,0.29337422189242235,0.584763371225988,0.14195214762797023,0.21384064496308594,0.10087568072724987,0.10918260883839324,
31,-0.001716423818708086,0.3020292,0.3193552089322475,0.584763371225988,0.14678062719659227,0.21384064496308594,0.09927999351238352,0.10918260883839324,
36,-0.001819115476280763,0.27798724,0.3336296124864022,0.584763371225988,0.15888041474963122,0.21384064496308594,0.10818595133731496,0.10918260883839324,
41,-0.0017241094318342543,0.25862885,0.3382073242233056,0.584763371225988,0.16119319653760075,0.21384064496308594,0.10935461060593146,0.10918260883839324,
46,-0.0020116919967667984,0.23956636,0.34710767534065284,0.584763371225988,0.16323162466316204,0.21384064496308594,0.10689957058154752,0.10918260883839324,
51,-0.0018336945319209412,0.2288738,0.36645274256609617,0.584763371225988,0.17135298551712128,0.21384064496308594,0.11135874683494476,0.10918260883839324,
56,-0.002379086736205129,0.24161935,0.3849572986388485,0.584763371225988,0.1730328003621128,0.21384064496308594,0.10973991017474648,0.10918260883839324,
61,-0.002712340036796966,0.25291273,0.3876142906358614,0.584763371225988,0.1706705525764307,0.21384064496308594,0.10796258966511395,0.10918260883839324,
66,-0.0024054063892483784,0.2588769,0.36704428460323923,0.584763371225988,0.16997100299821646,0.21384064496308594,0.11145370208303772,0.10918260883839324,
71,-0.002495839008986305,0.26638427,0.34359140496651125,0.584763371225988,0.16335797961002635,0.21384064496308594,0.11070488727463206,0.10918260883839324,
76,-0.002042324697714246,0.27222946,0.34553397732731295,0.584763371225988,0.1651817738281348,0.21384064496308594,0.11248306870457503,0.10918260883839324,
81,-0.00226657403275568,0.27627778,0.3419627431997312,0.584763371225988,0.16264925919334017,0.21384064496308594,0.10955697539139674,0.10918260883839324,
86,-0.002131991492670263,0.28138515,0.3600358125484173,0.584763371225988,0.17431127387771905,0.21384064496308594,0.11666324067428678,0.10918260883839324,
91,-0.0022369474655713566,0.28701237,0.37574031067106617,0.584763371225988,0.18238968886432638,0.21384064496308594,0.12117965588883518,0.10918260883839324,
96,-0.002187839326709235,0.29254836,0.3758170401934262,0.584763371225988,0.181748327524002,0.21384064496308594,0.12183590518251053,0.10918260883839324,
100,-0.002350387868556235,0.29688174,0.3758540251601934,0.584763371225988,0.18170687098932334,0.21384064496308594,0.1221576291255459,0.10918260883839324,
