epochs, EmbeddingSimilarity,nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,-0.0015385534747801297,0.49604887,0.2569970657141048,0.5938006743680377,0.09107847652005004,0.23695667648275365,0.055927690161527654,0.11510796955903035,
6,-0.001960103982086754,0.30294654,0.1979943046920183,0.5938006743680377,0.08791778051659382,0.23695667648275365,0.06482348155616574,0.11510796955903035,
11,-0.0019713139059430985,0.28645107,0.22570250910744608,0.5938006743680377,0.09677729538831732,0.23695667648275365,0.06951805663136254,0.11510796955903035,
16,-0.001856691828849198,0.2698692,0.2621259049924099,0.5938006743680377,0.1064815094686972,0.23695667648275365,0.07307760630944038,0.11510796955903035,
21,-0.0021351023017930665,0.24832675,0.3164663672257525,0.5938006743680377,0.1251118148557405,0.23695667648275365,0.07782154923230719,0.11510796955903035,
26,-0.0015587068626588159,0.22652453,0.3343612430399412,0.5938006743680377,0.14456170376120783,0.23695667648275365,0.09105805793090922,0.11510796955903035,
31,-0.0014259386013658253,0.20776637,0.3455637571532608,0.5938006743680377,0.15288060805755477,0.23695667648275365,0.09585505276498944,0.11510796955903035,
36,-0.0016047216067836324,0.19051419,0.3666795235370741,0.5938006743680377,0.1602101410126106,0.23695667648275365,0.09415365990214462,0.11510796955903035,
41,-0.0014321001212480517,0.17640042,0.3605122075765655,0.5938006743680377,0.1617992066342574,0.23695667648275365,0.09774042857208627,0.11510796955903035,
46,-0.001474803706355967,0.16226074,0.38087611147290756,0.5938006743680377,0.173557587962094,0.23695667648275365,0.10202282681873988,0.11510796955903035,
51,-0.00150235788346666,0.15530565,0.3936398768358028,0.5938006743680377,0.17739461799370648,0.23695667648275365,0.10384843606461766,0.11510796955903035,
56,-0.0019700619285015378,0.16489138,0.412784269764542,0.5938006743680377,0.17776031968209108,0.23695667648275365,0.09995600574342094,0.11510796955903035,
61,-0.0016480342261603607,0.17119294,0.42345582031939005,0.5938006743680377,0.1885804947241739,0.23695667648275365,0.11258222339067107,0.11510796955903035,
66,-0.0013841558639222326,0.17767994,0.4295392336878392,0.5938006743680377,0.1982044072700846,0.23695667648275365,0.1228105255664328,0.11510796955903035,
71,-0.0015466849857125155,0.18342231,0.4365581086193998,0.5938006743680377,0.20225170549017116,0.23695667648275365,0.1275707819738692,0.11510796955903035,
76,-0.0013429315858543296,0.18902294,0.4336520069740792,0.5938006743680377,0.20053415663193747,0.23695667648275365,0.12927239882700428,0.11510796955903035,
81,-0.0014165097058996478,0.19237004,0.434292884255972,0.5938006743680377,0.2009796462923266,0.23695667648275365,0.12994640223213386,0.11510796955903035,
86,-0.0016436752743120419,0.1946438,0.42952061669794356,0.5938006743680377,0.1978044243279824,0.23695667648275365,0.12766869709040274,0.11510796955903035,
91,-0.0016758811478208397,0.1957173,0.4171595712890391,0.5938006743680377,0.19088705175027976,0.23695667648275365,0.12093490797475585,0.11510796955903035,
96,-0.0019012481358064352,0.19711739,0.4175489948190659,0.5938006743680377,0.18832936101972045,0.23695667648275365,0.11698217947407265,0.11510796955903035,
100,-0.0020392211507258046,0.19893554,0.4203189700838515,0.5938006743680377,0.1907016030012452,0.23695667648275365,0.11686232360645632,0.11510796955903035,
